no,posx,posy,posz,movedirx,movediry,movedirz,viewdirx,viewdiry,viewdirz,deltapos,deltamovedir,deltaviewdir,label
2,-39.30043,1.543146,-68.34385999999999,0.009689330999999999,0.0,-0.01000977,0.079041,-0.134864,-0.987707,0.013931,174.3322,9.822426,0
3,-39.30664,1.553847,-68.33601999999999,-0.006210327,0.0,0.007835388,-0.014466,0.009329,-0.9998520000000001,0.009998,51.35137,12.62079,1
4,-39.30167,1.560201,-68.31441,0.004970551,0.0,0.02161407,-0.11311600000000001,0.080296,-0.990332,0.022178,34.919259999999994,9.758556,1
5,-39.253809999999994,1.553685,-68.27112,0.04785919,0.0,0.04328918,-0.240542,0.046465,-0.969526,0.06453300000000001,33.67435,9.360141,1
6,-39.20916,1.562719,-68.26448,0.04465103,0.0,0.006637573000000001,-0.202603,-0.08431699999999999,-0.9756239999999999,0.045142,45.43359,4.375893,1
7,-39.16855,1.562339,-68.29505999999999,0.04061127,0.0,-0.03057861,-0.20824099999999998,-0.137917,-0.968305,0.050836,82.70913,3.496464,1
8,-39.312129999999996,1.558585,-68.54691,-0.1435814,0.0,-0.25185389999999996,-0.180837,-0.137407,-0.973867,0.289907,84.95314,1.6472080000000002,1
9,-39.28102,1.566976,-68.56848000000001,0.03110886,0.0,-0.0215683,-0.145812,-0.094341,-0.9848040000000001,0.037854,159.2524,4.581847,1
10,-39.28235,1.5692139999999999,-68.56655,-0.001327515,0.0,0.001930237,-0.159122,-0.07902200000000001,-0.984092,0.002343,0.113641,1.6441849999999998,1
11,-39.309059999999995,1.569248,-68.52788000000001,-0.02671051,0.0,0.038673400000000004,-0.143032,-0.085704,-0.986,0.047001,149.1311,1.315166,1
12,-39.29898,1.5658100000000001,-68.53246999999999,0.01007843,0.0,-0.004592896,-0.132166,-0.12013599999999999,-0.9839209999999999,0.011076,55.78893000000001,2.5871060000000003,1
13,-39.28767,1.565149,-68.5256,0.01131058,0.0,0.006874084,-0.132243,-0.107029,-0.9854219999999999,0.013236000000000001,124.0146,0.77569,1
14,-39.2881,1.558673,-68.53465,-0.00043106080000000004,0.0,-0.009056091,-0.16764600000000002,-0.180902,-0.9691069999999999,0.009066,166.7016,6.4494,1
15,-39.29203,1.568863,-68.5136,-0.0039291379999999996,0.0,0.0210495,-0.160409,-0.033,-0.986499,0.021412999999999998,29.1312,9.109816,1
16,-39.288990000000005,1.569125,-68.50455,0.003040314,0.0,0.009056091,-0.17273,-0.042827,-0.984038,0.009553,5.035517,1.283716,1
17,-39.28735,1.5619100000000001,-68.49773,0.00164032,0.0,0.0068206790000000005,-0.184392,-0.11049,-0.9766229999999999,0.007015,6.243343,4.625227,1
18,-39.286770000000004,1.569609,-68.49319,0.000579834,0.0,0.00453949,-0.148929,-0.005633,-0.9888319999999999,0.004576,89.76805999999999,8.148417,1
19,-38.9888,1.600905,-68.53002,0.2979698,0.0,-0.03683472,-0.395531,-0.00041,-0.9184530000000001,0.300238,178.7112,15.0561,3
20,-39.2831,1.573756,-68.4869,-0.29430009999999995,0.0,0.04312134,-0.312422,-0.056500999999999996,-0.948262,0.297442,171.2515,8.302626,3
21,-39.172959999999996,1.5689389999999999,-68.48611,0.11014180000000001,0.0,0.000793457,-0.21442199999999997,-0.081028,-0.973374,0.110145,121.5172,7.221049000000001,1
22,-39.176809999999996,1.569391,-68.49249,-0.0038528440000000002,0.0,-0.006385803000000001,-0.204559,-0.085809,-0.975086,0.007458,38.32902,0.850258,1
23,-39.18598,1.568073,-68.49593,-0.009170532,0.0,-0.0034408570000000003,-0.175938,-0.091286,-0.98016,0.009795,79.05396999999999,1.9868139999999999,1
24,-39.184309999999996,1.565909,-68.50579,0.001670837,0.0,-0.009857178000000001,-0.141534,-0.082608,-0.9864809999999999,0.009998,9.30206,2.510591,1
25,-39.16822,1.572054,-68.55273000000001,0.01609039,0.0,-0.04693604,-0.117999,-0.090374,-0.988893,0.049617,91.82235,1.8069240000000002,1
