no,posx,posy,posz,movedirx,movediry,movedirz,viewdirx,viewdiry,viewdirz,deltapos,deltamovedir,deltaviewdir,label
2,-39.50223,1.566865,-68.56723000000001,0.0610466,0.0,0.01465607,0.19717,-0.517299,-0.832782,0.06278099999999999,163.4037,45.06258,0
3,-39.51558,1.551196,-68.57497,-0.01334763,0.0,-0.007736206,0.032735,-0.665643,-0.745552,0.015428,21.53085,21.38646,1
4,-39.5636,1.548227,-68.5822,-0.04801941,0.0,-0.007232666,-0.199943,-0.6506529999999999,-0.732579,0.048561,164.216,18.9208,1
5,-39.55583,1.542189,-68.58318,0.0077705380000000004,0.0,-0.0009841919,-0.180505,-0.7090850000000001,-0.681628,0.007833,170.0215,5.003488,1
6,-39.59135,1.5182200000000001,-68.57219,-0.03552246,0.0,0.01099396,-0.6273270000000001,-0.683399,-0.3734,0.037185,165.2704,46.45629,2
7,-39.52796,1.518958,-68.57491999999999,0.06338882,0.0,-0.002731323,-0.246633,-0.7034729999999999,-0.666557,0.063448,176.5412,40.529379999999996,2
8,-39.56323,1.511799,-68.57553,-0.03526688,0.0,-0.0006103516000000001,-0.393179,-0.801759,-0.450104,0.035272000000000005,14.88168,29.42523,1
9,-39.59775,1.509308,-68.56699,-0.03452301,0.0,0.008537292,-0.49217700000000003,-0.818349,-0.29675999999999997,0.035563,166.1926,19.39529,1
10,-39.582390000000004,1.515684,-68.57506,0.01536179,0.0,-0.00806427,-0.531684,-0.7370439999999999,-0.41722700000000007,0.01735,177.9789,14.47383,1
11,-39.6111,1.506538,-68.55866999999999,-0.02870941,0.0,0.01638794,-0.6408699999999999,-0.752504,-0.151739,0.033056999999999996,175.069,26.129089999999998,1
12,-39.58014,1.508137,-68.57297,0.03096008,0.0,-0.01429749,-0.558862,-0.736146,-0.381789,0.034102,28.684520000000003,22.42204,1
13,-39.55438,1.503126,-68.57121,0.02576065,0.0,0.001754761,-0.42981499999999995,-0.771944,-0.46836099999999997,0.02582,178.3468,16.24292,1
14,-39.57393,1.505307,-68.57311,-0.01955032,0.0,-0.001899719,-0.5144810000000001,-0.767846,-0.381735,0.019642,172.9233,11.250580000000001,1
15,-39.54842,1.49567,-68.5674,0.02550888,0.0,0.005714416999999999,-0.40911,-0.811191,-0.41784899999999997,0.026141,166.7099,13.082360000000001,1
16,-39.59718,1.503963,-68.56683000000001,-0.04875946,0.0,0.0005645752,-0.619751,-0.7522399999999999,-0.223706,0.048763,40.18548,31.18556,1
17,-39.60964,1.5018,-68.55606,-0.012458799999999999,0.0,0.01077271,-0.7192270000000001,-0.6841149999999999,-0.121242,0.01647,106.3622,15.89781,1
18,-39.60999,1.5011430000000001,-68.55683,-0.0003509521,0.0,-0.0007705688000000001,-0.711789,-0.691455,-0.123474,0.0008470000000000001,87.85027,0.85205,1
19,-39.60754,1.500888,-68.55806,0.002449036,0.0,-0.001228333,-0.676844,-0.723671,-0.13484100000000002,0.00274,12.02339,4.038749,1
20,-39.60653,1.501375,-68.55887,0.001010895,0.0,-0.0008087158,-0.67335,-0.724355,-0.14802200000000001,0.001295,2.872762,1.187671,1
21,-39.60249,1.503681,-68.56245,0.004039764,0.0,-0.0035781859999999997,-0.6760430000000001,-0.708725,-0.201681,0.005397,25.71564,5.4969790000000005,1
22,-39.53861,1.543275,-68.58054,0.06388092,0.0,-0.01809692,-0.085635,-0.666168,-0.740869,0.06639500000000001,50.82865,70.15465999999999,2
23,-39.467,1.563029,-68.53038000000001,0.0716095,0.0,0.05016327,0.5664710000000001,-0.5315479999999999,-0.629736,0.08743200000000001,160.1879,58.22785,2
24,-39.48178,1.54026,-68.55135,-0.01478195,0.0,-0.02097321,0.236033,-0.658515,-0.714596,0.025658999999999998,10.5709,32.77062,2
