no,posx,posy,posz,movedirx,movediry,movedirz,viewdirx,viewdiry,viewdirz,deltapos,deltamovedir,deltaviewdir,label
36,-39.41616,1.602719,-68.56426,-0.005550385,0.0,-0.04678345,0.9547040000000001,0.034614,-0.295536,0.047112,55.56361,36.432520000000004,1
37,-39.431509999999996,1.612223,-68.57231,-0.01535034,0.0,-0.008049011,0.852303,0.164666,-0.496453,0.017333,96.55833,20.51406,1
38,-39.424040000000005,1.601402,-68.58329,0.007469177,0.0,-0.010978700000000001,0.848059,0.017969,-0.529597,0.013279,99.29514,10.21237,2
39,-39.50544,1.597138,-68.62113000000001,-0.08139801,0.0,-0.0378418,-0.164702,-0.034727999999999995,-0.9857319999999999,0.089764,7.3437410000000005,68.46239,1
40,-39.50739,1.595983,-68.62175,-0.00194931,0.0,-0.000617981,-0.124634,-0.044915,-0.991186,0.002045,172.2208,2.902893,1
41,-39.49733,1.5996299999999999,-68.62001,0.01005936,0.0,0.0017395020000000002,0.007208,0.000606,-0.999974,0.010209000000000001,172.5265,10.12609,1
42,-39.4992,1.599332,-68.62009,-0.0018692020000000001,0.0,-7.629395000000001e-05,0.037315,0.004128,-0.999295,0.001871,177.719,1.933201,1
43,-39.457359999999994,1.596264,-68.61671,0.0418396,0.0,0.003379822,0.463024,-0.041712,-0.8853629999999999,0.041976,38.66023,27.624909999999996,1
44,-39.41539,1.596547,-68.57719,0.0419693,0.0,0.03952026,0.9048280000000001,-0.041575,-0.42374300000000004,0.057648000000000005,40.83101,37.30513,2
45,-39.41065,1.600765,-68.53123000000001,0.0047416690000000004,0.0,0.04595947,0.9919709999999999,0.009802,0.126089,0.046202999999999994,179.3205,34.159729999999996,2
46,-39.41364,1.60032,-68.56402,-0.002990723,0.0,-0.03279114,0.938047,0.0049759999999999995,-0.346473,0.032927,59.25787,27.791959999999996,1
47,-39.42268,1.607104,-68.56834,-0.009040833,0.0,-0.004318237,0.938385,0.094201,-0.33250599999999997,0.010019,93.4381,5.880822,1
48,-39.420159999999996,1.603183,-68.57289,0.002521515,0.0,-0.004554749,0.9335549999999999,0.043759,-0.35575300000000004,0.0052060000000000006,124.4442,4.24653,1
49,-39.41615,1.602509,-68.56488,0.0040092470000000005,0.0,0.008010864,0.9476319999999999,0.031669,-0.317791,0.008958,21.493779999999997,3.014544,1
