Bounds,-43.76523,0,-9.349782,0,1,0
Bounds,-41.95657,0,-9.459881,0,1,0
JiaoXueLou,-60.72245,0.7791486,-35,0,0,1
Bounds,-47.32574,0,-14.33909,0,1,0
Bounds,-43.58516,0,-11.58639,0,1,0
Bounds,-46.44051,0,-14.84634,0,1,0
Bounds,-43.16866,0,-18.47731,0,1,0
Bounds,-40.19248,0,-21.81011,0,1,0
Bounds,-38.83578,0,-18.37058,0,1,0
Bounds,-40.16251,0,-20.54821,0,1,0
DiaoSu,-40.09272,0.1693017,-21.91208,-0.06782499,0,0.9976973
DiaoSu,-39.96522,0.1477491,-21.90341,-0.06782499,0,0.9976973
DiaoSu,-39.81236,0.1904321,-22.03048,-0.06988843,0,0.9975548
DiaoSu,-39.82701,0.320186,-22.03151,-0.06988843,0,0.9975548
DiaoSu,-39.60701,0.2357271,-22.02983,0.07700681,0,0.9970306
Bounds,-31.53,0,-21.68645,0,1,0
Bounds,-26.31199,0,-27.92788,0,0.9999999,0
Bounds,-28.88415,0,-26.72157,0,0.9999999,0
Bounds,-29.85292,0,-27.44551,0,0.9999999,0
Bounds,-27.9929,0.1,-32.38156,0,1,0
DiaoSu,-38.05706,1.106268,-24.37544,0.5367328,0,0.8437523
Bounds,-26.24638,0.02286219,-31,0,0,1
Bounds,-24.10987,0.1,-31.96459,0,1,0
Bounds,-24.363,0.1,-33.64465,0,0.9999999,0
Bounds,-25.44122,0.09999999,-33.32629,0,0.9999999,0
DiaoSu,-35.20176,0.5111001,-24.35722,0,0.9999999,0
Bounds,-30.74523,0,-25.9736,0,0.9999999,0
Bounds,-28.58628,0,-28.78927,0,0.9999999,0
Bounds,-26.9369,0,-30.9184,0,0.9999999,0
Bounds,-26.962,0.1,-31.32777,0,1,0
Bounds,-27.03049,0.09999999,-33.17487,0,0.9999999,0
Bounds,-26.06126,0.1,-33.43905,0,1,0
Bounds,-25.02637,0,-30.8814,0,0.9999999,0
Bounds,-25.49778,0,-30.76751,0,0.9999999,0
Bounds,-24.17157,0,-30.53746,0,0.9999999,0
Bounds,-23.53928,0,-29.00084,0,0.9999999,0
Bounds,-18.95142,0,-29.5437,0,0.9999999,0
Bounds,-11.61797,0,-30.57249,0,0.9999999,0
Bounds,9.754062E-17,0.8125914,-19.58987,-1,-1.141362E-16,-9.130896E-18
TiYuGuan,-11.0216,1.242641,-17.55863,-1,0,0
Bounds,5.498103E-17,0.3034578,-24.4764,-1,0,1.050053E-16
Bounds,0.2044564,3.477165,-18.25132,-1,1.53081E-18,1.192093E-07
TiYuGuan,-20.52775,3.627967,-17.53891,0,0,-1
Bounds,0,0.7297161,-29.12392,-1,0,0
Bounds,0.2044564,4.289535,-18.74332,-1,1.53081E-18,1.192093E-07
Bounds,0,1.157149,-30.32292,-1,0,0
Bounds,0,0.7746413,-29.45734,-1,0,0
Bounds,0,0.4240008,-29.37518,-1,0,0
Bounds,0,0.5932174,-29.78007,-1,0,0
Bounds,0,1.023575,-29.88521,-1,0,0
Bounds,0,1.191024,-29.81791,-1,0,0
Bounds,0,1.224324,-29.94919,-1,0,0
Bounds,0,1.303007,-30.39893,-1,0,0
Bounds,0,1.378906,-30.49385,-1,0,0
Bounds,0,1.429316,-30.70269,-1,0,0
Bounds,0,1.204958,-32.43254,-1,0,0
Bounds,-1.113022,0,-50.75579,0,1,0
Bounds,0,1.876836,-72.4203,-1,0,0
Bounds,0,0.3808006,-67.21869,-1,0,0
Bounds,-0.4177869,0,-61.76028,0,1,0
Bounds,0,0.6124081,-60.3684,-1,0,0
Bounds,0,1.201619,-60.21988,-1,0,0
Bounds,0,1.507866,-63.27847,-1,0,0
Bounds,0,1.914015,-66.12488,-1,0,0
Bounds,0,1.859581,-75.47481,-1,0,0
Bounds,0,1.378111,-73.81815,-0.9999999,0,0
Bounds,0,1.174274,-73.9359,-1,0,0
Bounds,0,1.373949,-75.91704,-1,0,0
Bounds,0,1.3946,-80.96449,-1,0,0
Bounds,0,1.260735,-80.92677,-1,0,0
Bounds,0,1.372826,-80.42854,-1,0,0
Bounds,0,1.43031,-82.35223,-1,0,0
Bounds,0,1.529457,-83.02437,-1,0,0
Bounds,0,1.694071,-83.4763,-1,0,0
Bounds,0,1.599992,-84.58221,-1,0,0
Bounds,0,1.879444,-90.21307,-1,0,0
Bounds,0,1.843966,-89.55545,-1,0,0
Bounds,-1.975067,2.038027,-99.88374,0,1.530808E-18,1
BaoGaoTing,-9.408456,1.09322,-80.72306,1,0,0
BaoGaoTing,-16.84191,1.130876,-68.694,0,0,1
Bounds,-23.85784,0.1,-74.08157,0,1,0
Bounds,-25.65896,0.4463109,-62.18896,1,0,0
TuShuGuan,-54.1468,0.4790904,-81.802,0,0,0.9999999
Bounds,-48.76112,0.09999999,-70.29016,0,1,0
Bounds,-79.7,0.1430702,-53.32294,1,1.530809E-18,1.192093E-07
Bounds,-79.62348,0,-66.40614,0,0.9999999,0
TuShuGuan,-61.92246,3.626686,-68.694,0,0,1
TuShuGuan,-61.915,5.571627,-71.97289,1,0,0
TuShuGuan,-54.32867,5.015827,-81.802,0,0,0.9999999
TuShuGuan,-46.83,2.342824,-84.58664,0.9999999,0,0
TuShuGuan,-46.83,1.48895,-87.63988,0.9999999,0,0
Bounds,-43.1087,0.1,-77.68945,0,1,0
TuShuGuan,-61.915,5.229999,-78.63563,1,0,0
Bounds,-63.2236,0.09999999,-67.17242,0,1,0
TuShuGuan,-61.15565,0.6404311,-75.88303,0.6566557,0,0.7541905
TuShuGuan,-61.885,1.866607,-72.44151,1,0,0
