Bounds,-40.74925,0,-7.306382,0,1,0
Bounds,-42.67191,0,-6.124489,0,1,0
Bounds,-41.90406,0,-6.405046,0,1,0
Bounds,-42.57055,0,-5.657494,0,1,0
Bounds,-43.37047,0,-5.419632,0,1,0
Bounds,-42.15792,0,-4.26544,0,1,0
Bounds,-41.88238,0,-5.325406,0,1,0
Bounds,-47.65519,0,-2.164406,0,1,0
Bounds,-50,0.02304939,-7.132865,1,0,0
JiaoXueLou,-62.24638,3.074069,-35.05,0,0,0.9999999
JiaoXueLou,-35.05531,4.712756,-33.65,0,0,0.9999999
Bounds,-64.19833,0.1,-32.23831,0,1,0
Bounds,-79.7,5.597914,-41.97568,1,1.530809E-18,1.192093E-07
JiaoXueLou,-46.52374,3.899649,-35.05,0,0,0.9999999
JiaoXueLou,-26.37774,4.169724,-35.05,0,0,1
TiYuGuan,-25.00028,2.987418,-2.226693,-1,0,0
Bounds,-31.19986,3.909178,0.09999847,0,1.530808E-18,-1
JiaoXueLou,-37.0122,5.261566,-33.7,0,0,1
Bounds,-33.08477,3.619026,0.09999847,0,1.530808E-18,-1
Bounds,0.2044591,7.516361,-40.76467,-1,1.53081E-18,1.192093E-07
Bounds,-40.24337,0,-20.00175,0,1,0
DiaoSu,-40.24151,0.04292047,-21.92219,-0.06782499,0,0.9976973
DiaoSu,-40.18619,0.03021253,-21.91843,-0.06782499,0,0.9976973
Bounds,-59.2659,3.547293,0.09999847,0,1.530808E-18,-1
Bounds,-35.90882,2.752844,0.09999847,0,1.530808E-18,-1
Bounds,-43.78941,2.221624,0.09999847,0,1.530808E-18,-1
Bounds,-79.69999,3.001955,-8.930229,1,1.530809E-18,1.192093E-07
Bounds,-79.7,3.132164,-20.16871,1,1.530809E-18,1.192093E-07
Bounds,-79.69999,1.967066,-14.91833,1,1.530809E-18,1.192093E-07
JiaoXueLou,-54.04043,6.035844,-35.05,0,0,1
JiaoXueLou,-53.18574,5.174258,-35,0,0,1
JiaoXueLou,-53.63455,3.719623,-35.05,0,0,1
JiaoXueLou,-61.01958,3.499753,-35,0,0,1
Bounds,0.2044581,4.451635,-32.43192,-1,1.53081E-18,1.192093E-07
TiYuGuan,-25.00029,2.638349,-15.20613,-1,0,0
TiYuGuan,-25.00028,3.338567,-14.89825,-1,0,0
Bounds,0.2044569,3.88604,-22.56964,-1,1.53081E-18,1.192093E-07
Bounds,0.204459,3.816587,-39.85091,-1,1.53081E-18,1.192093E-07
Bounds,0.2044577,2.482441,-28.88757,-1,1.53081E-18,1.192093E-07
Bounds,0.2044579,2.405188,-31.23271,-1,1.53081E-18,1.192093E-07
JiaoXueLou,-30.34078,2.192275,-35.05,0,0,1
JiaoXueLou,-40.79928,2.044686,-35.05,0,0,1
JiaoXueLou,-17.83787,2.652288,-35.05,0,0,1
Bounds,0,1.430893,-30.94368,-1,0,0
Bounds,0,1.396851,-28.51446,-1,0,0
Bounds,0,1.107187,-29.72277,-1,0,0
Bounds,0.2044567,2.746469,-21.0718,-1,1.53081E-18,1.192093E-07
TiYuGuan,-19.075,2.181889,-17.53891,0,0,-1
TiYuGuan,-25.00029,1.718612,-17.41062,-1,0,0
TiYuGuan,-25.00028,2.529456,-12.85811,-1,0,0
TiYuGuan,-13.5439,3.140584,-17.53891,0,0,-1
Bounds,0.2044566,5.383286,-19.63305,-1,1.53081E-18,1.192093E-07
Bounds,0.2044563,6.49586,-17.42488,-1,1.53081E-18,1.192093E-07
Bounds,0.2044574,3.313078,-26.9943,-1,1.53081E-18,1.192093E-07
JiaoXueLou,-27.82014,4.040003,-35.05,0,0,1
JiaoXueLou,-23.09342,3.279819,-35.05,0,0,1
JiaoXueLou,-31.94232,7.104041,-35.05,0,0,1
JiaoXueLou,-26.32369,4.722577,-35,0,0,1
Bounds,0,1.154551,-43.28072,-1,0,0
Bounds,0,0.698179,-39.42179,-1,0,0
Bounds,0.2044592,2.287008,-41.5221,-1,1.53081E-18,1.192093E-07
Bounds,0.2044593,2.169224,-42.78608,-1,1.53081E-18,1.192093E-07
Bounds,0.2044596,2.720686,-45.23143,-1,1.53081E-18,1.192093E-07
Bounds,0.2044598,2.661455,-47.01128,-1,1.53081E-18,1.192093E-07
Bounds,0.2044601,2.595955,-49.28304,-1,1.53081E-18,1.192093E-07
Bounds,0,1.665322,-55.14217,-1,0,0
Bounds,0.2044632,3.188267,-75.14458,-1,1.53081E-18,1.192093E-07
Bounds,0.2044641,3.103025,-82.65878,-1,1.53081E-18,1.192093E-07
Bounds,-1.222557,3.951432,-99.88374,0,1.530808E-18,1
