Bounds,-40.15896,0,-8.476686,0,1,0
Bounds,-41.21434,0,-9.915522,0,1,0
Bounds,-40.19546,0,-14.55311,0,1,0
Bounds,-39.60555,0,-9.365204,0,1,0
JiaoXueLou,-37.12545,2.130031,-35.1,0,0,1
Bounds,-38.40637,0,-20.9447,0,1,0
Bounds,-40.75454,0,-21.212,0,1,0
Bounds,-40.14549,0,-16.49373,0,1,0
DiaoSu,-41.35561,0.1495662,-22.15722,-0.3849598,0,0.9229333
Bounds,-40.84245,0,-20.39274,0,1,0
DiaoSu,-40.61468,0.008816344,-21.96214,-0.2238592,0,0.9746215
Bounds,-39.27268,0,-15.58023,0,1,0
DiaoSu,-39.88494,0.2589486,-22.03556,-0.06988843,0,0.9975548
DiaoSu,-39.53632,4.895109,-26.57566,0,0,1
JiaoXueLou,-53.5686,0.3995258,-35,0,0,1
JiaoXueLou,-22.65946,1.603145,-35,0,0,1
Bounds,-30.61155,0,-21.66558,0,1,0
Bounds,-37.0441,0,-14.0935,0,1,0
Bounds,-37.08581,0,-14.61305,0,1,0
Bounds,-32.64867,0,-21.39867,0,1,0
Bounds,-33.80933,0,-20.20711,0,1,0
Bounds,-39.26208,0,-16.67317,0,1,0
Bounds,-37.36967,0,-16.29634,0,1,0
Bounds,-22.09498,0.1,-22.17394,0,1,0
TiYuGuan,-25.00028,0.2507434,-8.23134,-1,0,0
Bounds,-18.45755,0.09999999,-33.51709,0,0.9999999,0
Bounds,-55.60219,29.81011,-61.97519,0,-1,1.192093E-07
JiaoXueLou,-37.08558,9.102837,-34.975,0,0,1
Bounds,-25.98239,0,-30.73085,0,0.9999999,0
Bounds,-23.48207,0.1,-34.39275,0,0.9999999,0
JiaoXueLou,-11.70773,3.072564,-35.05,0,0,1
JiaoXueLou,-22.12833,1.679142,-35,0,0,1
JiaoXueLou,-21.72912,1.075559,-35,0,0,1
Bounds,-24.67101,0.1,-31.45204,0,1,0
JiaoXueLou,-19.93353,0.1938364,-35,0,0,0.9999999
Bounds,-27.17791,0.09999999,-32.10819,0,1,0
Bounds,-20.69007,0.1,-33.27258,0,1,0
Bounds,-22.01989,0.1,-31.03358,0,1,0
Bounds,-18.41913,0.09999999,-32.58145,0,1,0
Bounds,-14.62813,0.1,-32.96358,0,1,0
Bounds,-16.53932,0.1,-32.55207,0,1,0
Bounds,-16.82068,0.1,-31.92533,0,1,0
Bounds,-15.66038,0.09999999,-32.67785,0,1,0
Bounds,-17.46504,0.1,-31.648,0,1,0
Bounds,0,0.3878759,-25.75479,-1,0,0
