267,-50
272,-51
270,-51
243,-77
247,-83
252,-84
284,-118
288,-124
341,-119
345,-125
370,-133
375,-139
382,-143
395,-155
403,-156
410,-156
483,-269
490,-272
486,-273
482,-274
484,-282
325,-365
319,-369
314,-363
242,-356
238,-363
231,-366
123,-367
118,-362
112,-356
104,-354
95,-354
54,-341
51,-348
47,-356
150,-613
158,-609
164,-614
262,-524
265,-470
259,-465
253,-458
253,-449
258,-442
267,-441
274,-436
277,-428
266,-397
266,-390
263,-382
260,-375
260,-367
261,-368
289,-360
294,-357
300,-357
313,-355
310,-353
300,-351
301,-351
306,-349
264,-51
261,-59
267,-65
275,-65
276,-71
274,-78
296,-153
290,-154
286,-151
284,-145
288,-142
294,-139
298,-136
301,-137
283,-137
276,-132
231,-138
228,-142
223,-141
220,-136
217,-140
219,-148
182,-177
178,-172
179,-175
174,-178
135,-191
129,-192
134,-198
141,-202
135,-199
128,-194
112,-186
104,-185
106,-191
113,-197
110,-199
103,-193
35,-231
38,-237
32,-243
16,-284
23,-285
8,-245
6,-252
2,-257
4,-263
42,-376
38,-607
40,-612
226,-620
233,-618
237,-616
245,-544
244,-539
244,-543
244,-542
248,-534
264,-526
267,-521
259,-519
250,-518
250,-513
253,-519
246,-523
207,-476
203,-471
202,-465
191,-429
188,-425
173,-416
168,-413
157,-411
154,-408
159,-406
165,-410
399,-355
406,-355
408,-363
409,-362
412,-356
419,-357
423,-353
422,-347
506,-302
502,-307
503,-315
500,-315
502,-310
231,-133
227,-140
233,-146
226,-151
179,-171
171,-168
163,-172
169,-175
170,-179
162,-181
26,-318
30,-351
29,-360
29,-393
251,-554
255,-547
260,-541
261,-535
269,-495
272,-490
268,-485
265,-478
264,-469
230,-355
231,-355
232,-359
240,-363
488,-588
489,-582
490,-573
334,-167
333,-161
331,-163
263,-490
258,-611
254,-615
249,-622
242,-625
86,-620
79,-622
73,-621
68,-623
63,-626
57,-624
98,-371
106,-368
114,-365
122,-370
213,-362
222,-362
231,-366
239,-367
243,-370
248,-369
254,-370
261,-374
339,-365
347,-367
353,-373
359,-373
362,-373
372,-369
380,-365
388,-364
396,-363
402,-362
408,-362
415,-366
423,-365
464,-364
469,-364
476,-365
490,-215
305,-119
300,-114
294,-111
288,-108
280,-105
272,-102
248,-110
242,-106
239,-101
235,-106
231,-110
227,-114
227,-122
165,-177
160,-177
154,-180
146,-182
138,-185
121,-182
113,-183
108,-184
102,-183
85,-182
79,-182
74,-184
66,-185
49,-189
241,-365
245,-372
252,-378
261,-435
264,-436
260,-441
267,-398
270,-391
270,-390
269,-385
271,-378
259,-318
258,-323
258,-574
263,-581
301,-626
308,-624
310,-622
311,-622
312,-626
388,-641
398,-641
499,-407
496,-399
494,-393
462,-355
120,-188
128,-186
276,-70
277,-77
262,-460
262,-466
266,-560
269,-568
241,-628
248,-382
248,-391
244,-405
250,-410
259,-409
266,-413
265,-421
271,-422
272,-414
268,-410
260,-407
269,-373
277,-375
442,-194
435,-190
427,-186
360,-189
352,-185
353,-177
299,-110
290,-111
286,-104
289,-97
282,-97
260,-102
231,-115
231,-132
228,-138
223,-140
186,-171
55,-351
61,-357
479,-631
473,-628
498,-417
506,-395
505,-396
505,-393
508,-386
504,-209
440,-194
440,-194
287,-29
286,-29
249,-113
251,-121
243,-123
243,-124
242,-132
236,-138
229,-139
25,-238
23,-245
24,-254
224,-364
230,-365
230,-367
233,-363
237,-356
299,-352
295,-355
292,-353
261,-369
260,-375
267,-380
266,-453
253,-629
253,-629
22,-400
24,-392
24,-383
29,-377
110,-364
117,-369
221,-351
246,-368
248,-369
245,-371
304,-343
300,-348
298,-353
294,-356
291,-357
291,-352
295,-353
296,-360
384,-370
383,-370
383,-371
381,-373
377,-373
361,-484
361,-483
365,-484
360,-485
360,-487
357,-489
308,-494
302,-499
299,-501
287,-502
432,-356
264,-461
264,-482
263,-486
263,-486
264,-487
264,-496
268,-548
267,-548
265,-550
264,-551
264,-554
265,-563
279,-595
280,-588
259,-494
260,-492
261,-490
262,-485
264,-476
262,-434
262,-434
262,-434
260,-429
259,-420
87,-363
80,-360
74,-354
187,-180
193,-174
211,-134
219,-132
228,-135
253,-121
254,-118
253,-109
277,-4
281,-3
287,-8
288,-14
332,-163
334,-166
335,-166
337,-166
341,-167
340,-166
313,-136
317,-134
284,-367
280,-367
274,-361
65,-363
61,-355
48,-335
45,-334
40,-202
40,-202
41,-207
44,-206
49,-203
350,-504
345,-510
336,-511
279,-489
273,-494
272,-503
253,-616
188,-629
181,-624
41,-629
41,-629
25,-415
25,-415
25,-414
26,-382
26,-381
23,-363
23,-363
24,-364
188,-362
237,-361
237,-361
261,-363
263,-363
493,-356
492,-350
487,-215
487,-218
487,-220
290,-140
290,-139
291,-139
294,-139
291,-34
290,-36
233,-634
92,-649
91,-649
407,-189
416,-190
417,-198
415,-202
421,-198
493,-197
490,-338
298,-358
298,-358
269,-455
298,-371
301,-371
308,-370
305,-369
299,-371
270,-400
263,-396
259,-396
258,-396
258,-390
287,-336
290,-335
409,-361
409,-369
429,-352
434,-350
436,-346
346,-165
340,-170
335,-175
319,-165
317,-157
318,-148
260,-137
264,-131
271,-128
277,-104
283,-98
281,-94
273,-94
269,-93
274,-86
317,-15
313,-16
